NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Durham CDP, California",6337,62,0,0,98,305,0,06,20270
"Dustin Acres CDP, California",529,0,0,0,33,23,0,06,20284
"Dutch Flat CDP, California",104,4,0,0,0,9,0,06,20298
"Eagleville CDP, California",13,0,0,0,0,0,0,06,20424
"Earlimart CDP, California",7674,0,0,0,0,0,0,06,20438
"East Bakersfield CDP, California",10754,47,0,0,40,9,0,06,20515
"Eastern Goleta Valley CDP, California",29563,405,0,0,480,1063,42,06,20574
"East Foothills CDP, California",8270,30,86,122,36,106,77,06,20598
"East Hemet CDP, California",20261,346,29,110,192,549,16,06,20697
"East Los Angeles CDP, California",117222,224,95,76,180,230,64,06,20802
"East Nicolaus CDP, California",163,0,0,0,7,4,0,06,20900
"East Niles CDP, California",29981,57,21,16,137,146,8,06,20903
"East Oakdale CDP, California",2381,25,0,0,52,71,0,06,20907
"Easton CDP, California",2454,8,6,0,30,17,5,06,20928
"East Orosi CDP, California",422,0,0,0,0,0,0,06,20942
"East Palo Alto city, California",29520,403,180,218,154,273,90,06,20956
"East Pasadena CDP, California",5474,21,26,60,123,59,96,06,20984
"East Porterville CDP, California",5424,27,0,0,55,48,0,06,21012
"East Quincy CDP, California",2399,54,0,0,44,184,0,06,21026
"East Rancho Dominguez CDP, California",14924,0,11,0,0,3,0,06,21034
"East Richmond Heights CDP, California",3285,42,12,0,157,146,6,06,21061
"East San Gabriel CDP, California",22654,58,225,401,152,233,755,06,21096
"East Shore CDP, California",209,0,0,0,0,24,0,06,21138
"East Sonora CDP, California",2664,73,10,0,12,90,0,06,21188
"East Tulare Villa CDP, California",862,3,12,0,0,10,0,06,21210
"Eastvale city, California",69594,720,404,328,821,1252,1651,06,21230
"East Whittier CDP, California",10248,163,53,12,99,246,88,06,21292
"Edgewood CDP, California",46,0,0,0,0,0,0,06,21530
"Edison CDP, California",490,0,0,0,0,0,0,06,21544
"Edmundson Acres CDP, California",335,0,0,0,0,0,0,06,21558
"Edna CDP, California",355,39,0,0,41,0,0,06,21565
"Edwards AFB CDP, California",2694,148,5,0,132,132,7,06,21600
"El Adobe CDP, California",240,0,0,0,0,11,0,06,21691
"El Cajon city, California",105721,2286,157,153,1728,4206,310,06,21712
"El Centro city, California",44184,8,48,19,131,309,94,06,21782
"El Centro Naval Air Facility CDP, California",539,5,0,0,0,6,0,06,21788
"El Cerrito city, California",25869,476,205,188,241,1325,549,06,21796
"El Cerrito CDP, California",5328,38,0,0,60,189,11,06,21810
"El Dorado Hills CDP, California",49082,553,180,51,390,1803,344,06,21880
"Eldridge CDP, California",730,0,0,0,20,18,0,06,21894
"Elfin Forest CDP, California",595,0,12,0,0,52,0,06,21916
"El Granada CDP, California",5651,124,0,0,202,422,0,06,21936
"Elizabeth Lake CDP, California",1764,23,0,0,129,62,0,06,21964
"Elk Creek CDP, California",45,0,0,0,0,0,0,06,22006
"Elk Grove city, California",176105,1593,2058,1267,1438,3753,3817,06,22020
"Elkhorn CDP, California",1285,7,0,0,6,11,0,06,22034
"El Macero CDP, California",1013,0,0,0,0,35,0,06,22104
"Elmira CDP, California",141,0,0,0,0,0,0,06,22146
"El Monte city, California",108682,133,732,1102,124,180,1988,06,22230
"El Monte Mobile Village CDP, California",118,0,0,0,0,0,0,06,22235
"El Nido CDP, California",459,0,0,0,0,0,0,06,22286
"El Paso de Robles (Paso Robles) city, California",31595,542,28,42,685,1058,230,06,22300
"El Portal CDP, California",479,42,0,0,0,12,0,06,22328
"El Rancho CDP, California",62,0,0,0,0,0,0,06,22360
"El Rio CDP, California",6418,0,0,0,78,28,0,06,22370
"El Segundo city, California",17081,285,104,96,601,908,178,06,22412
"El Sobrante CDP (Contra Costa County), California",15497,137,79,287,292,403,152,06,22454
"El Sobrante CDP (Riverside County), California",12127,185,0,159,184,639,89,06,22457
"El Verano CDP, California",3034,98,0,0,52,216,10,06,22510
"Elverta CDP, California",5102,92,9,10,73,215,41,06,22524
"Emerald Lake Hills CDP, California",4425,104,0,0,96,188,31,06,22587
"Emeryville city, California",12840,295,421,445,360,425,423,06,22594
"Empire CDP, California",3726,49,0,0,69,118,0,06,22622
"Encinitas city, California",61942,1466,173,41,1306,3178,155,06,22678
"Escalon city, California",7456,272,0,0,342,227,0,06,22790
"Escondido city, California",151114,1854,372,243,1842,3761,611,06,22804
"Esparto CDP, California",3600,95,12,0,50,156,26,06,22846
"Etna city, California",717,21,0,0,6,29,0,06,22972
"Eucalyptus Hills CDP, California",6491,94,0,0,220,259,0,06,23000
"Eureka city, California",26519,547,33,12,691,1340,96,06,23042
"Exeter city, California",10327,131,9,0,38,237,37,06,23126
"Fairbanks Ranch CDP, California",3014,0,0,0,89,150,0,06,23150
"Fairfax CDP, California",1776,0,0,0,9,60,0,06,23158
"Fairfax town, California",7567,223,25,25,59,397,0,06,23168
"Fairfield city, California",119420,903,859,742,1157,2395,1464,06,23182
"Fairhaven CDP, California",341,2,0,0,1,17,0,06,23196
"Fairmead CDP, California",1263,8,0,0,9,4,0,06,23210
"Fair Oaks CDP, California",32754,529,48,37,649,1367,140,06,23294
"Fairview CDP, California",10583,104,99,52,158,354,209,06,23350
"Fallbrook CDP, California",33710,593,55,35,371,566,10,06,23462
"Fall River Mills CDP, California",678,0,0,0,0,68,0,06,23532
"Farmersville city, California",10393,33,0,0,25,7,0,06,23616
"Farmington CDP, California",111,0,0,0,0,0,30,06,23630
"Fellows CDP, California",62,0,0,0,0,6,0,06,23812
"Felton CDP, California",3701,74,0,23,67,297,0,06,23826
"Ferndale city, California",1569,4,0,0,17,47,0,06,23910
"Fetters Hot Springs-Agua Caliente CDP, California",4224,31,0,0,48,53,28,06,23973
"Fiddletown CDP, California",56,0,0,0,0,22,0,06,23980
"Fieldbrook CDP, California",777,28,0,0,12,54,0,06,24008
"Fields Landing CDP, California",629,0,0,0,61,63,0,06,24022
"Fillmore city, California",16455,253,32,30,242,356,0,06,24092
"Firebaugh city, California",8139,0,0,0,0,5,0,06,24134
"Fish Camp CDP, California",0,0,0,0,0,0,0,06,24218
"Florence-Graham CDP, California",63132,23,14,14,24,33,33,06,24477
"Florin CDP, California",49992,97,651,1116,181,586,1215,06,24498
"Floriston CDP, California",23,0,0,0,0,0,0,06,24526
"Flournoy CDP, California",95,7,0,0,0,4,0,06,24568
"Folsom city, California",81077,1233,593,355,942,2930,1516,06,24638
"Fontana city, California",209279,850,446,481,698,2364,1070,06,24680
"Foothill Farms CDP, California",37635,1063,316,155,796,1210,381,06,24722
"Forbestown CDP, California",372,0,0,0,0,0,0,06,24750
"Ford City CDP, California",4357,67,19,0,0,77,0,06,24764
"Foresta CDP, California",75,0,0,0,0,24,0,06,24792
"Foresthill CDP, California",1178,0,0,0,0,14,0,06,24834
"Forest Meadows CDP, California",1485,22,0,0,27,68,0,06,24897
"Forest Ranch CDP, California",1686,7,0,0,57,10,0,06,24918
"Forestville CDP, California",3632,43,55,0,89,167,15,06,24960
"Fort Bidwell CDP, California",169,3,0,0,1,0,0,06,25030
"Fort Bragg city, California",7007,145,0,0,91,156,49,06,25058
"Fort Dick CDP, California",1295,18,0,0,2,45,0,06,25086
"Fort Hunter Liggett CDP, California",874,0,0,0,30,28,0,06,25093
"Fort Irwin CDP, California",8967,180,66,18,325,281,18,06,25114
"Fort Jones city, California",618,5,0,0,7,34,0,06,25128
"Fortuna city, California",12527,271,43,0,288,600,28,06,25296
"Fort Washington CDP, California",158,0,0,0,0,0,0,06,25300
"Foster City city, California",33215,335,912,736,513,657,1813,06,25338
"Fountain Valley city, California",56754,350,454,470,742,1146,1316,06,25380
"Fowler city, California",6819,14,36,109,0,85,54,06,25436
"Franklin CDP (Merced County), California",7581,96,70,200,59,195,65,06,25488
"Franklin CDP (Sacramento County), California",25,0,0,0,0,0,0,06,25506
"Frazier Park CDP, California",2719,41,0,0,0,48,0,06,25534
"Freedom CDP, California",3360,12,5,5,5,55,13,06,25576
"Freeport CDP, California",0,0,0,0,0,0,0,06,25590
"Fremont city, California",228795,1706,6623,5639,1451,2543,13501,06,26000
"French Camp CDP, California",3860,13,0,17,20,71,76,06,26028
"French Gulch CDP, California",283,0,0,0,12,10,0,06,26056
"French Valley CDP, California",41239,549,197,48,508,1613,287,06,26067
"Fresno city, California",541528,4935,3677,3846,5207,8695,5537,06,27000
"Friant CDP, California",317,0,0,0,0,0,0,06,27014
"Fruitdale CDP, California",1219,15,0,74,72,24,11,06,27080
"Fruitridge Pocket CDP, California",5596,4,39,0,37,40,36,06,27130
"Fuller Acres CDP, California",717,0,0,0,0,0,0,06,27190
"Fullerton city, California",142280,1630,1209,1212,1711,2738,2517,06,28000
"Fulton CDP, California",749,0,0,0,0,43,0,06,28014
"Furnace Creek CDP, California",130,0,0,0,0,32,0,06,28021
"Galt city, California",25350,335,34,27,293,919,49,06,28112
"Garberville CDP, California",1815,0,7,0,17,112,0,06,28154
"Gardena city, California",60377,163,496,634,185,361,749,06,28168
"Garden Acres CDP, California",10124,42,0,7,52,62,25,06,28182
"Garden Farms CDP, California",370,0,0,0,14,11,0,06,28210
"Garden Grove city, California",171637,629,2407,2516,924,1710,3916,06,29000
"Garey CDP, California",52,3,0,0,3,0,0,06,29070
"Garnet CDP, California",7328,29,0,0,63,26,34,06,29112
"Gasquet CDP, California",366,0,0,0,8,0,0,06,29154
"Gazelle CDP, California",123,0,0,0,0,8,0,06,29252
"Georgetown CDP, California",2546,12,0,9,24,111,7,06,29350
"Gerber CDP, California",1084,0,0,0,0,14,0,06,29392
"Geyserville CDP, California",837,0,0,0,4,20,0,06,29420
"Gilroy city, California",58696,258,115,170,299,1066,340,06,29504
"Glendale city, California",194512,4652,1035,816,4570,7452,1839,06,30000
"Glendora city, California",52095,430,129,119,610,1400,581,06,30014
"Glen Ellen CDP, California",998,0,0,0,0,22,0,06,30028
"Glennville CDP, California",33,0,0,0,0,0,0,06,30126
"Golden Hills CDP, California",9892,140,0,14,210,426,15,06,30282
"Gold Mountain CDP, California",97,0,0,0,0,0,0,06,30339
"Gold River CDP, California",7910,122,0,27,54,285,71,06,30345
"Goleta city, California",32640,511,116,177,502,844,307,06,30378
"Gonzales city, California",8581,0,0,0,0,46,15,06,30392
"Good Hope CDP, California",8291,24,0,0,38,12,0,06,30410
"Goodmanville CDP, California",43,0,0,0,0,0,0,06,30412
"Goodyears Bar CDP, California",65,0,0,0,0,0,0,06,30420
"Goshen CDP, California",4974,53,0,0,0,46,6,06,30476
"Graeagle CDP, California",401,0,0,0,17,0,0,06,30560
"Grand Terrace city, California",13104,108,11,117,124,293,12,06,30658
"Grangeville CDP, California",244,0,0,0,11,15,0,06,30686
"Granite Bay CDP, California",22180,198,49,0,189,754,124,06,30693
"Granite Hills CDP, California",4525,98,0,0,27,330,48,06,30703
"Graniteville CDP, California",12,0,0,0,0,0,0,06,30714
"Grass Valley city, California",13964,273,44,77,235,565,18,06,30798
"Graton CDP, California",1671,62,0,0,17,49,9,06,30812
"Grayson CDP, California",1593,0,0,0,0,11,0,06,30882
"Greeley Hill CDP, California",960,102,0,0,42,12,0,06,30900
"Greenacres CDP, California",4562,99,0,0,97,192,0,06,30938
"Green Acres CDP, California",3023,0,0,0,0,0,14,06,30944
"Greenfield CDP, California",4417,2,0,0,0,16,0,06,30987
"Greenfield city, California",18998,14,0,10,12,27,0,06,30994
"Greenhorn CDP, California",174,0,0,0,0,0,0,06,31029
"Green Valley CDP (Los Angeles County), California",832,0,0,0,6,86,0,06,31092
"Green Valley CDP (Solano County), California",1586,92,0,0,72,15,6,06,31099
"Greenview CDP, California",94,0,0,0,0,0,0,06,31134
"Greenville CDP, California",705,0,0,0,0,0,0,06,31162
"Grenada CDP, California",230,0,0,0,0,0,0,06,31246
"Gridley city, California",7444,167,0,4,62,337,0,06,31260
"Grimes CDP, California",355,29,0,0,18,0,0,06,31288
"Grizzly Flats CDP, California",1374,0,0,0,0,10,0,06,31302
"Groveland CDP, California",591,11,0,0,19,0,0,06,31372
"Grover Beach city, California",12757,213,14,0,178,580,0,06,31393
"Guadalupe city, California",8272,13,9,9,0,44,18,06,31414
"Guerneville CDP, California",4764,143,0,0,125,191,0,06,31470
"Guinda CDP, California",194,0,0,0,0,0,0,06,31540
"Gustine city, California",6122,51,0,0,71,161,0,06,31568
"Hacienda Heights CDP, California",55461,139,653,775,216,389,1655,06,31596
"Half Moon Bay city, California",11633,256,9,10,121,372,0,06,31708
"Hamilton Branch CDP, California",454,6,0,0,26,10,0,06,31883
"Hamilton City CDP, California",2191,0,0,0,0,10,0,06,31890
"Hanford city, California",57920,716,83,60,750,1430,138,06,31960
"Happy Camp CDP, California",679,3,0,7,15,5,0,06,32030
"Happy Valley CDP, California",5532,36,0,0,98,254,0,06,32036
"Harbison Canyon CDP, California",4137,84,0,0,69,107,0,06,32044
"Hardwick CDP, California",160,0,0,0,0,0,0,06,32156
"Harmony Grove CDP, California",2039,0,33,11,27,94,39,06,32212
"Hartland CDP, California",0,0,0,0,0,0,0,06,32324
"Hartley CDP, California",2807,28,0,0,90,75,0,06,32340
"Hasley Canyon CDP, California",1236,3,0,0,2,43,0,06,32385
"Hat Creek CDP, California",71,0,0,0,0,0,0,06,32408
"Hawaiian Gardens city, California",14011,7,30,20,3,41,82,06,32506
"Hawthorne city, California",86978,243,179,174,669,623,552,06,32548
"Hayfork CDP, California",3227,0,0,0,37,47,6,06,32562
"Hayward city, California",160602,893,2440,2654,1447,1194,3617,06,33000
"Healdsburg city, California",11481,137,1,0,170,295,0,06,33056
"Heber CDP, California",7910,0,0,0,0,0,0,06,33084
"Hemet city, California",89651,948,169,107,673,1461,165,06,33182
"Herald CDP, California",1050,1,0,0,0,21,0,06,33294
"Hercules city, California",26041,225,287,421,141,365,731,06,33308
"Herlong CDP, California",1280,4,0,1,35,145,0,06,33336
"Hermosa Beach city, California",19551,754,20,81,915,991,68,06,33364
"Hesperia city, California",99878,945,46,7,871,2094,280,06,33434
"Hickman CDP, California",810,14,0,0,0,21,0,06,33504
"Hidden Hills city, California",2107,20,0,0,15,85,3,06,33518
"Hidden Meadows CDP, California",3698,78,0,0,72,87,0,06,33532
"Hidden Valley Lake CDP, California",5852,160,0,0,132,222,0,06,33549
"Highgrove CDP, California",7069,40,134,26,83,43,26,06,33574
"Highland city, California",56789,395,87,103,437,573,284,06,33588
"Highlands CDP, California",2730,35,15,23,51,89,59,06,33632
"Hillcrest CDP, California",10495,0,0,0,24,44,0,06,33689
"Hillsborough town, California",11258,78,13,31,20,306,167,06,33798
"Hilmar-Irwin CDP, California",6484,221,0,0,169,224,0,06,33861
"Hiouchi CDP, California",141,0,0,0,0,0,0,06,33935
"Hollister city, California",42093,312,46,16,360,672,101,06,34120
"Holtville city, California",5620,5,0,0,83,17,0,06,34246
"Home Garden CDP, California",1511,0,3,0,0,0,0,06,34281
"Home Gardens CDP, California",12278,53,22,25,88,95,137,06,34302
"Homeland CDP, California",6221,37,0,0,0,0,0,06,34316
"Homestead Valley CDP, California",2546,36,5,8,74,111,0,06,34392
"Homewood Canyon CDP, California",224,0,0,0,0,0,0,06,34405
"Honcut CDP, California",313,0,0,0,0,0,0,06,34428
"Hood CDP, California",314,0,0,0,0,0,0,06,34484
"Hoopa CDP, California",2489,3,0,0,3,11,0,06,34540
"Hopland CDP, California",1025,4,0,0,18,48,0,06,34652
"Hornbrook CDP, California",381,0,0,0,5,18,0,06,34694
"Hornitos CDP, California",54,0,0,0,0,0,0,06,34708
"Hughson city, California",7523,123,0,0,91,152,21,06,34904
"Humboldt Hill CDP, California",3273,45,0,0,5,136,0,06,34928
"Huntington Beach city, California",197481,3617,757,856,4228,7466,1212,06,36000
"Huntington Park city, California",54547,45,19,0,38,69,22,06,36056
"Huron city, California",6260,0,0,0,0,0,0,06,36084
"Hyampom CDP, California",328,0,0,0,0,0,0,06,36098
"Hydesville CDP, California",1060,0,0,0,10,14,0,06,36126
"Hypericum CDP, California",207,0,0,0,0,0,0,06,36135
"Idlewild CDP, California",48,0,0,0,0,10,0,06,36168
"Idyllwild-Pine Cove CDP, California",3491,27,0,15,15,91,0,06,36203
"Igo CDP, California",95,0,0,0,0,20,0,06,36252
"Imperial city, California",20430,34,0,0,90,189,0,06,36280
"Imperial Beach city, California",26157,236,18,57,588,472,142,06,36294
"Independence CDP, California",850,1,0,0,18,45,0,06,36350
"Indian Falls CDP, California",0,0,0,0,0,0,0,06,36364
"Indianola CDP, California",717,9,0,0,21,83,3,06,36420
"Indian Wells city, California",4832,36,12,0,18,76,0,06,36434
"Indio city, California",89616,357,145,94,416,1007,35,06,36448
"Indio Hills CDP, California",605,0,0,0,0,43,0,06,36452
"Industry city, California",234,2,0,0,0,7,2,06,36490
"Inglewood city, California",106806,244,214,101,301,460,116,06,36546
"Interlaken CDP, California",8039,26,0,0,69,52,0,06,36613
"Inverness CDP, California",1469,12,0,0,37,0,0,06,36616
"Inyokern CDP, California",922,7,0,0,22,0,0,06,36658
"Ione city, California",5364,73,0,0,129,326,0,06,36672
"Iron Horse CDP, California",418,0,0,0,0,49,0,06,36735
"Irvine city, California",304527,4879,5520,5221,5370,7688,9974,06,36770
"Irwindale city, California",1343,3,0,0,30,13,0,06,36826
"Isla Vista CDP, California",14722,70,11,45,37,20,21,06,36868
"Isleton city, California",538,21,0,0,6,15,2,06,36882
"Ivanhoe CDP, California",4329,0,0,0,0,0,0,06,36910
"Jackson city, California",5004,126,0,0,213,158,0,06,36980
"Jacumba CDP, California",857,0,0,0,0,0,0,06,37022
"Jamestown CDP, California",3742,170,0,0,19,437,0,06,37106
"Jamul CDP, California",6018,114,0,0,177,132,0,06,37120
"Janesville CDP, California",2641,71,15,0,47,77,0,06,37134
"Jenner CDP, California",16,0,0,0,0,0,0,06,37274
"Johannesburg CDP, California",94,0,0,0,0,28,0,06,37400
"Johnson Park CDP, California",761,95,0,0,8,0,0,06,37442
"Johnstonville CDP, California",1090,21,0,0,13,57,0,06,37484
"Johnsville CDP, California",0,0,0,0,0,0,0,06,37512
"Jones Valley CDP, California",969,14,0,0,0,85,0,06,37533
"Joshua Tree CDP, California",6751,201,0,0,213,289,13,06,37554
"Jovista CDP, California",43,0,0,0,0,0,0,06,37568
"Julian CDP, California",1377,0,0,0,35,85,0,06,37582
"Junction City CDP, California",1195,0,0,0,28,112,0,06,37596
"June Lake CDP, California",302,0,0,0,0,0,0,06,37624
"Jurupa Valley city, California",105672,786,107,78,660,1278,255,06,37692
"Keddie CDP, California",67,0,0,0,0,19,0,06,37904
"Keeler CDP, California",28,0,0,0,0,0,0,06,37918
"Keene CDP, California",404,0,0,0,0,8,0,06,37946
"Kelly Ridge CDP, California",3168,15,0,0,63,123,0,06,38024
"Kelseyville CDP, California",3828,0,0,0,23,89,0,06,38044
"Kennedy CDP, California",2516,4,0,0,0,3,23,06,38065
"Kennedy Meadows CDP, California",93,0,0,0,0,0,0,06,38076
"Kensington CDP, California",5309,14,43,27,54,254,10,06,38086
"Kentfield CDP, California",7410,78,0,0,72,269,33,06,38114
"Kenwood CDP, California",609,40,0,0,0,0,0,06,38156
"Kep'el CDP, California",19,0,0,0,0,0,0,06,38177
"Kerman city, California",15980,0,56,19,24,132,48,06,38226
"Kernville CDP, California",836,0,0,0,7,63,0,06,38310
"Keswick CDP, California",138,0,0,0,0,0,0,06,38352
"Kettleman City CDP, California",956,0,0,0,0,0,0,06,38394
"Keyes CDP, California",5827,61,27,0,17,90,0,06,38422
"King City city, California",13471,14,5,5,14,89,80,06,38520
"Kings Beach CDP, California",2589,66,0,0,109,150,0,06,38548
"Kingsburg city, California",12490,164,23,0,220,489,19,06,38562
"Kingvale CDP, California",85,0,0,0,0,0,0,06,38604
"Kirkwood CDP, California",249,0,0,0,0,5,0,06,38646
"Klamath CDP, California",924,19,0,0,4,16,0,06,38702
"Knightsen CDP, California",1646,63,0,0,0,82,14,06,38772
"Knights Ferry CDP, California",72,0,0,0,0,0,0,06,38786
"Knights Landing CDP, California",987,0,0,0,0,0,0,06,38800
"La Cañada Flintridge city, California",20378,146,109,86,136,498,364,06,39003
"La Crescenta-Montrose CDP, California",20092,336,94,63,152,555,510,06,39045
"La Cresta CDP, California",8468,50,0,0,68,87,0,06,39052
"Ladera CDP, California",1427,27,0,0,11,25,0,06,39094
"Ladera Heights CDP, California",6710,71,0,0,19,118,0,06,39108
"Ladera Ranch CDP, California",24323,310,77,100,247,1189,283,06,39114
"Lafayette city, California",25310,293,154,158,499,1151,179,06,39122
"La Grange CDP, California",143,0,0,0,0,18,0,06,39164
"Laguna Beach city, California",22943,233,20,34,427,836,12,06,39178
"Laguna Hills city, California",31170,721,46,154,645,1021,91,06,39220
"Laguna Niguel city, California",64259,949,316,207,949,2320,249,06,39248
"Laguna Woods city, California",17452,13,0,0,24,24,43,06,39259
"Lagunitas-Forest Knolls CDP, California",1747,24,13,0,95,72,0,06,39283
"La Habra city, California",62904,437,466,335,497,999,597,06,39290
"La Habra Heights city, California",5599,131,64,34,47,172,42,06,39304
"La Honda CDP, California",1422,22,0,0,59,155,0,06,39318
"Lake Almanor Country Club CDP, California",529,0,0,0,0,6,0,06,39411
"Lake Almanor Peninsula CDP, California",319,0,0,0,0,7,0,06,39420
"Lake Almanor West CDP, California",322,0,0,0,0,6,0,06,39425
"Lake Arrowhead CDP, California",10189,155,0,0,322,294,0,06,39444
"Lake California CDP, California",3639,115,0,0,103,209,0,06,39460
"Lake City CDP, California",32,0,0,0,0,7,0,06,39472
"Lake Davis CDP, California",105,50,0,0,31,0,0,06,39483
"Lake Don Pedro CDP, California",1215,0,0,0,5,0,0,06,39484
"Lake Elsinore city, California",69993,913,290,166,1096,1765,303,06,39486
"Lake Forest city, California",85583,968,1066,681,1274,2868,1590,06,39496
"Lakehead CDP, California",569,9,16,0,3,21,26,06,39514
"Lake Hughes CDP, California",867,0,0,0,0,34,0,06,39556
"Lake Isabella CDP, California",3514,137,0,0,109,63,0,06,39570
"Lakeland Village CDP, California",10565,189,0,0,126,268,39,06,39598
"Lake Los Angeles CDP, California",13097,195,0,0,31,124,7,06,39612
"Lake Mathews CDP, California",6494,58,17,0,91,229,14,06,39645
"Lake Nacimiento CDP, California",3205,55,0,0,76,166,0,06,39670
"Lake of the Pines CDP, California",4703,105,0,0,148,223,0,06,39690
"Lake of the Woods CDP, California",729,34,0,0,10,54,0,06,39696
"Lakeport city, California",5014,156,0,0,34,325,0,06,39710
"Lake Riverside CDP, California",1417,28,0,0,22,104,0,06,39715
"Lake San Marcos CDP, California",4080,58,0,0,15,150,11,06,39724
"Lake Shastina CDP, California",3008,60,0,0,35,185,0,06,39728
"Lake Sherwood CDP, California",1617,30,0,0,25,28,0,06,39735
"Lakeside CDP (Kern County), California",1405,0,0,0,0,0,0,06,39759
"Lakeside CDP (San Diego County), California",21759,414,0,53,434,702,0,06,39766
"Lakeview CDP, California",2327,0,0,0,0,14,0,06,39836
"Lake Wildwood CDP, California",4974,58,0,0,83,216,0,06,39885
"Lakewood city, California",81499,857,837,485,877,1766,1104,06,39892
"La Mesa city, California",60888,1253,255,161,2103,2386,349,06,40004
"La Mirada city, California",47644,223,245,388,367,830,739,06,40032
"Lamont CDP, California",13715,25,132,0,30,33,0,06,40088
"Lanare CDP, California",528,0,0,0,0,0,0,06,40116
"Lancaster city, California",171465,1299,266,292,1736,2878,471,06,40130
"La Palma city, California",15522,44,289,181,40,117,618,06,40256
"La Porte CDP, California",52,0,0,0,0,0,0,06,40312
"La Presa CDP, California",38618,181,42,149,318,677,181,06,40326
"La Puente city, California",37835,14,208,235,9,38,245,06,40340
"La Quinta city, California",37933,343,116,84,325,678,96,06,40354
"La Riviera CDP, California",11652,171,88,91,193,450,30,06,40410
"Larkfield-Wikiup CDP, California",7688,158,0,0,51,327,27,06,40426
"Larkspur city, California",12969,160,29,16,242,423,37,06,40438
"La Selva Beach CDP, California",2320,11,0,0,20,260,0,06,40508
"Las Flores CDP (Orange County), California",5757,100,14,0,175,327,10,06,40526
"Las Flores CDP (Tehama County), California",128,0,0,0,0,9,0,06,40536
"Las Lomas CDP, California",3059,0,0,0,0,0,0,06,40592
"Lathrop city, California",29633,189,282,288,225,579,729,06,40704
"Laton CDP, California",1301,32,0,0,7,13,0,06,40746
"La Verne city, California",31239,222,120,63,694,692,150,06,40830
"La Vina CDP, California",912,0,0,0,0,0,0,06,40872
"Lawndale city, California",31553,284,163,77,192,271,198,06,40886
"Laytonville CDP, California",552,6,0,0,26,0,0,06,40928
"Lebec CDP, California",913,55,0,0,47,22,0,06,40956
"Lee Vining CDP, California",594,0,0,0,0,0,0,06,40998
"Leggett CDP, California",46,0,0,0,0,0,0,06,41026
"Le Grand CDP, California",1679,0,0,3,3,22,0,06,41040
"Lemon Cove CDP, California",498,0,0,0,0,8,0,06,41110
"Lemon Grove city, California",27482,295,99,35,337,454,173,06,41124
"Lemon Hill CDP, California",14824,70,56,137,133,59,175,06,41142
"Lemoore city, California",26955,610,64,93,643,1118,118,06,41152
"Lemoore Station CDP, California",6403,81,30,9,117,246,13,06,41166
"Lennox CDP, California",20687,23,0,9,27,0,40,06,41180
"Lenwood CDP, California",4016,225,0,0,25,38,0,06,41194
"Leona Valley CDP, California",1569,0,0,0,0,13,33,06,41208
"Lewiston CDP, California",2218,41,0,0,14,74,0,06,41278
"Lexington Hills CDP, California",2587,39,0,0,61,200,12,06,41282
"Likely CDP, California",0,0,0,0,0,0,0,06,41390
"Lincoln city, California",50131,932,100,62,774,1756,195,06,41474
"Lincoln Village CDP, California",4508,0,9,16,71,93,46,06,41558
"Linda CDP, California",23262,239,105,99,459,440,286,06,41572
"Lindcove CDP, California",236,0,0,0,0,0,0,06,41656
"Linden CDP, California",1845,94,0,0,46,168,0,06,41670
"Lindsay city, California",12581,14,0,0,0,0,0,06,41712
