NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Linnell Camp CDP, California",737,0,0,0,0,0,0,06,41740
"Litchfield CDP, California",134,0,0,0,0,19,0,06,41782
"Little Grass Valley CDP, California",0,0,0,0,0,0,0,06,41789
"Little River CDP, California",223,0,0,0,0,0,0,06,41866
"Littlerock CDP, California",1509,0,0,0,24,0,0,06,41880
"Little Valley CDP, California",10,0,0,0,0,0,0,06,41908
"Live Oak CDP, California",17707,337,47,15,572,574,60,06,41922
"Live Oak city, California",9222,68,92,92,88,67,102,06,41936
"Livermore city, California",87154,1758,654,610,1426,3235,1389,06,41992
"Livingston city, California",14344,20,179,138,17,55,258,06,42006
"Lockeford CDP, California",4126,68,13,0,118,156,0,06,42104
"Lockwood CDP (Amador County), California",495,30,0,0,0,61,0,06,42142
"Lockwood CDP (Monterey County), California",235,0,0,0,0,0,0,06,42146
"Lodi city, California",66509,881,247,371,1013,1597,440,06,42202
"Lodoga CDP, California",201,0,0,0,0,10,0,06,42230
"Loleta CDP, California",532,11,0,0,15,9,0,06,42328
"Loma Linda city, California",24883,395,333,121,608,311,375,06,42370
"Loma Mar CDP, California",112,0,0,0,0,28,0,06,42384
"Loma Rica CDP, California",2605,41,0,0,56,76,0,06,42412
"Lomita city, California",20662,233,118,194,252,384,175,06,42468
"Lompico CDP, California",911,7,10,0,47,60,0,06,42510
"Lompoc city, California",44086,335,72,30,585,985,82,06,42524
"London CDP, California",1785,0,0,7,9,0,0,06,42566
"Lone Pine CDP, California",1323,2,0,3,10,73,0,06,42580
"Long Barn CDP, California",42,0,0,0,0,0,0,06,42622
"Long Beach city, California",462293,4589,3048,2027,6145,9052,4052,06,43000
"Lookout CDP, California",37,2,0,0,3,0,0,06,43126
"Loomis town, California",6831,253,0,0,202,319,0,06,43140
"Los Alamitos city, California",11728,97,90,69,149,289,188,06,43224
"Los Alamos CDP, California",834,33,0,0,0,21,0,06,43252
"Los Altos city, California",31133,282,245,233,241,721,877,06,43280
"Los Altos Hills town, California",8441,15,192,53,28,97,84,06,43294
"Los Angeles city, California",3881041,51732,22250,20988,55359,90718,32374,06,44000
"Los Banos city, California",45560,361,18,22,299,330,82,06,44028
"Los Berros CDP, California",182,0,0,0,0,25,0,06,44042
"Los Gatos town, California",33093,529,166,61,421,1257,554,06,44112
"Los Molinos CDP, California",1649,0,0,0,18,36,0,06,44140
"Los Olivos CDP, California",1020,11,0,0,21,63,0,06,44168
"Los Osos CDP, California",15523,255,46,27,319,907,6,06,44182
"Los Ranchos CDP, California",1571,20,0,0,15,50,0,06,44242
"Lost Hills CDP, California",1754,0,0,0,0,0,0,06,44280
"Lower Lake CDP, California",1326,0,0,0,26,0,0,06,44350
"Loyalton city, California",997,6,0,0,12,104,0,06,44364
"Loyola CDP, California",3818,56,5,28,11,78,41,06,44378
"Lucas Valley-Marinwood CDP, California",6334,75,15,25,68,89,42,06,44399
"Lucerne CDP, California",3085,90,0,65,54,169,0,06,44406
"Lucerne Valley CDP, California",6212,75,0,0,67,133,0,06,44420
"Lynwood city, California",66346,148,21,0,20,91,3,06,44574
"Lytle Creek CDP, California",528,10,0,0,10,50,0,06,44644
"Mabie CDP, California",212,0,0,0,0,0,0,06,44672
"McArthur CDP, California",425,0,0,0,0,0,0,06,44700
"McClellan Park CDP, California",1193,9,0,0,0,23,1,06,44760
"McClenney Tract CDP, California",20,0,0,0,0,0,0,06,44770
"McCloud CDP, California",959,0,0,0,7,37,0,06,44784
"Macdoel CDP, California",143,0,0,0,0,0,0,06,44812
"McFarland city, California",13971,85,0,0,10,25,11,06,44826
"McGee Creek CDP, California",0,0,0,0,0,0,0,06,44830
"McKinleyville CDP, California",16913,335,0,71,466,855,32,06,44910
"McKittrick CDP, California",93,0,0,0,0,7,0,06,44924
"McSwain CDP, California",5042,46,0,0,20,256,0,06,45006
"Madeline CDP, California",31,0,0,0,0,0,0,06,45008
"Madera city, California",66784,365,37,36,358,382,23,06,45022
"Madera Acres CDP, California",9794,28,0,2,0,142,0,06,45050
"Madera Ranchos CDP, California",3357,27,0,0,18,83,0,06,45054
"Madison CDP, California",455,29,0,0,0,0,0,06,45064
"Mad River CDP, California",322,0,0,0,42,32,0,06,45092
"Magalia CDP, California",9245,232,19,0,142,268,0,06,45120
"Malaga CDP, California",753,0,0,0,0,0,0,06,45232
"Malibu city, California",10698,131,15,0,235,358,0,06,45246
"Mammoth Lakes town, California",7253,198,0,0,125,290,29,06,45358
"Manchester CDP, California",298,0,0,0,0,6,0,06,45386
"Manhattan Beach city, California",35123,493,56,42,770,1448,503,06,45400
"Manila CDP, California",663,41,12,0,8,22,0,06,45414
"Manteca city, California",83897,1097,439,564,854,2202,951,06,45484
"Manton CDP, California",305,0,0,24,0,0,0,06,45512
"March ARB CDP, California",1175,0,0,0,0,20,81,06,45680
"Maricopa city, California",1217,29,0,9,9,62,0,06,45736
"Marina city, California",22253,180,158,98,385,525,147,06,45778
"Marina del Rey CDP, California",10274,203,107,0,112,956,125,06,45806
"Marin City CDP, California",3419,22,0,0,13,52,15,06,45820
"Mariposa CDP, California",1060,0,0,0,15,56,2,06,45932
"Markleeville CDP, California",163,0,0,0,0,6,0,06,45988
"Martell CDP, California",219,0,11,0,14,0,0,06,46100
"Martinez city, California",37093,776,188,91,579,1736,423,06,46114
"Marysville city, California",12681,283,82,0,363,491,58,06,46170
"Matheny CDP, California",766,0,0,0,4,3,0,06,46223
"Mather CDP, California",4712,144,43,6,198,280,14,06,46226
"Maxwell CDP, California",1181,12,0,0,14,20,0,06,46338
"Mayfair CDP, California",4937,54,36,37,115,37,0,06,46400
"Mayflower Village CDP, California",5209,15,10,14,9,127,80,06,46436
"Maywood city, California",25009,5,5,6,0,13,14,06,46492
"Meadowbrook CDP, California",3409,0,0,0,21,9,0,06,46520
"Meadow Valley CDP, California",434,0,0,0,0,34,0,06,46618
"Meadow Vista CDP, California",3589,102,0,0,117,133,0,06,46632
"Mead Valley CDP, California",20581,58,22,0,10,157,20,06,46646
"Mecca CDP, California",6313,0,0,0,0,0,0,06,46660
"Meiners Oaks CDP, California",3914,108,0,6,92,98,41,06,46702
"Mendocino CDP, California",731,0,0,0,0,0,0,06,46814
"Mendota city, California",12603,0,0,0,0,22,0,06,46828
"Menifee city, California",103680,1305,188,304,1860,2364,361,06,46842
"Menlo Park city, California",33324,664,293,239,485,1325,459,06,46870
"Mentone CDP, California",9707,55,6,11,91,362,46,06,46884
"Merced city, California",87686,646,302,482,758,1130,608,06,46898
"Meridian CDP, California",376,0,0,0,0,2,0,06,46926
"Mesa CDP, California",374,8,0,0,21,5,0,06,47013
"Mesa Verde CDP, California",926,0,0,0,0,0,0,06,47066
"Mesa Vista CDP, California",246,3,0,0,3,16,0,06,47086
"Mettler CDP, California",122,0,0,0,0,0,0,06,47164
"Mexican Colony CDP, California",302,0,0,0,0,7,0,06,47192
"Meyers CDP, California",2140,73,12,0,79,195,0,06,47206
"Middletown CDP, California",1748,0,0,0,63,10,0,06,47332
"Midpines CDP, California",183,22,0,0,15,3,0,06,47374
"Midway City CDP, California",8032,60,58,39,32,23,140,06,47430
"Milford CDP, California",0,0,0,0,0,0,0,06,47472
"Millbrae city, California",22825,78,242,337,189,416,728,06,47486
"Millerton CDP, California",726,0,0,12,0,111,0,06,47592
"Mill Valley city, California",14199,221,37,13,310,540,88,06,47710
"Millville CDP, California",794,9,0,0,6,31,0,06,47724
"Milpitas city, California",79092,410,2590,3124,524,739,5009,06,47766
"Mineral CDP, California",77,0,0,0,0,27,0,06,47794
"Minkler CDP, California",683,3,0,0,0,0,0,06,47822
"Mira Monte CDP, California",6837,71,0,0,72,342,0,06,48046
"Miranda CDP, California",656,0,0,0,31,0,0,06,48060
"Mission Canyon CDP, California",2500,82,0,0,70,147,16,06,48147
"Mission Hills CDP, California",3458,5,0,0,49,93,0,06,48186
"Mission Viejo city, California",93233,1365,356,174,1429,3581,1128,06,48256
"Mi-Wuk Village CDP, California",1010,24,0,0,28,48,0,06,48298
"Modesto city, California",218308,2779,822,794,3238,5493,1210,06,48354
"Modjeska CDP, California",756,39,0,0,4,24,0,06,48410
"Mohawk Vista CDP, California",28,0,0,0,0,0,0,06,48448
"Mojave CDP, California",3865,0,0,0,57,16,26,06,48452
"Mokelumne Hill CDP, California",808,0,0,0,0,0,0,06,48480
"Monmouth CDP, California",202,0,2,0,0,0,0,06,48592
"Mono City CDP, California",223,0,0,0,0,70,0,06,48602
"Mono Vista CDP, California",3620,106,11,0,100,226,0,06,48641
"Monrovia city, California",37656,307,338,295,436,617,663,06,48648
"Monson CDP, California",143,0,0,0,0,0,0,06,48676
"Montague city, California",1484,56,0,0,21,73,0,06,48690
"Montalvin Manor CDP, California",2195,0,0,17,0,0,2,06,48718
"Montara CDP, California",2649,43,0,0,66,0,0,06,48760
"Montclair city, California",37842,83,211,230,169,232,221,06,48788
"Montebello city, California",62056,54,288,426,137,220,680,06,48816
"Montecito CDP, California",8529,23,3,0,124,219,23,06,48844
"Monterey city, California",30007,930,100,159,1077,1457,76,06,48872
"Monterey Park city, California",60386,58,979,1418,84,371,1916,06,48914
"Monterey Park Tract CDP, California",138,0,0,0,0,0,0,06,48916
"Monte Rio CDP, California",771,1,0,0,0,27,0,06,48928
"Monte Sereno city, California",3444,0,8,0,0,99,15,06,48956
"Montgomery Creek CDP, California",214,0,0,0,0,0,0,06,48998
"Monument Hills CDP, California",1281,23,0,0,0,21,0,06,49045
"Moorpark city, California",36073,625,64,61,550,1176,111,06,49138
"Morada CDP, California",3335,1,0,0,0,134,0,06,49180
"Moraga town, California",16859,184,22,36,50,603,295,06,49187
"Moreno Valley city, California",209578,858,447,492,920,1936,707,06,49270
"Morgan Hill city, California",45291,521,339,358,566,1311,654,06,49278
"Morongo Valley CDP, California",3387,88,0,0,102,198,0,06,49348
"Morro Bay city, California",10766,228,0,0,218,303,42,06,49362
"Moskowite Corner CDP, California",146,6,13,0,0,0,0,06,49432
"Moss Beach CDP, California",3165,17,0,0,0,121,53,06,49446
"Moss Landing CDP, California",9,0,0,0,0,0,0,06,49488
"Mountain Center CDP, California",44,0,0,0,0,0,0,06,49544
"Mountain Gate CDP, California",819,9,0,0,9,48,0,06,49558
"Mountain House CDP, California",23590,99,603,349,348,407,1375,06,49582
"Mountain Meadows CDP, California",254,0,0,0,0,26,0,06,49592
"Mountain Mesa CDP, California",572,28,0,0,25,0,0,06,49600
"Mountain Ranch CDP, California",293,0,0,0,0,0,0,06,49628
"Mountain View CDP, California",2166,86,0,0,102,99,0,06,49651
"Mountain View city, California",82132,1474,1983,1918,2560,2953,2942,06,49670
"Mountain View Acres CDP, California",3457,29,22,0,60,14,0,06,49684
"Mt. Bullion CDP, California",80,0,0,0,6,0,0,06,49726
"Mount Hebron CDP, California",113,0,0,0,0,0,0,06,49768
"Mount Hermon CDP, California",1174,26,0,0,45,66,0,06,49796
"Mount Laguna CDP, California",104,0,0,0,0,0,0,06,49810
"Mount Shasta city, California",3235,142,0,0,112,110,0,06,49852
"Muir Beach CDP, California",407,4,0,0,19,24,0,06,49950
"Murphys CDP, California",2022,23,0,0,31,21,0,06,50034
"Murrieta city, California",111899,1525,305,191,1909,3376,572,06,50076
"Muscoy CDP, California",11802,0,0,4,12,0,28,06,50132
"Myers Flat CDP, California",208,0,0,0,0,0,0,06,50146
"Myrtletown CDP, California",4946,68,0,0,64,339,37,06,50188
"Napa city, California",79233,1352,159,28,1229,2376,273,06,50258
"National City city, California",56345,129,323,407,336,234,563,06,50398
"Needles city, California",4895,28,0,0,30,146,0,06,50734
"Nevada City city, California",3142,54,0,0,62,174,0,06,50874
"Newark city, California",47470,113,1490,1517,263,885,1888,06,50916
"Newcastle CDP, California",1501,0,0,0,15,72,0,06,51000
"New Cuyama CDP, California",669,0,0,0,0,13,0,06,51028
"Newell CDP, California",431,24,0,0,3,0,0,06,51042
"Newman city, California",12275,138,49,12,131,57,41,06,51140
"New Pine Creek CDP, California",79,9,0,0,6,27,0,06,51168
"Newport Beach city, California",85159,1706,192,199,1913,3663,471,06,51182
"Nicasio CDP, California",83,0,0,0,0,2,0,06,51280
"Nice CDP, California",2389,65,0,0,0,105,0,06,51294
"Nicolaus CDP, California",125,3,0,0,3,0,0,06,51336
"Niland CDP, California",602,0,0,0,0,0,0,06,51392
"Nipinnawasee CDP, California",341,0,0,0,0,9,0,06,51470
"Nipomo CDP, California",18009,167,0,17,195,483,78,06,51476
"Norco city, California",25328,391,46,61,449,774,61,06,51560
"Nord CDP, California",147,0,0,0,0,0,0,06,51574
"Norris Canyon CDP, California",954,0,11,20,0,0,48,06,51622
"North Auburn CDP, California",14403,211,6,8,364,568,27,06,51637
"North Edwards CDP, California",1086,0,0,0,11,10,0,06,51812
"North El Monte CDP, California",3983,0,53,82,0,39,105,06,51820
"North Fair Oaks CDP, California",13718,96,30,9,128,123,92,06,51840
"North Fork CDP, California",3279,56,0,8,61,51,0,06,51868
"North Gate CDP, California",900,0,0,0,0,8,0,06,51890
"North Highlands CDP, California",48083,870,147,95,851,1518,334,06,51924
"North Lakeport CDP, California",2666,12,0,0,108,64,0,06,51990
"North Richmond CDP, California",3734,0,20,3,0,15,48,06,52162
"North San Juan CDP, California",109,0,0,0,0,0,0,06,52246
"North Shore CDP, California",2610,0,0,0,0,0,0,06,52302
"North Tustin CDP, California",25131,174,76,67,120,827,178,06,52379
"Norwalk city, California",101893,306,562,762,289,580,656,06,52526
"Novato city, California",53055,538,112,69,447,1638,239,06,52582
"Nubieber CDP, California",42,0,0,0,0,0,6,06,52610
"Nuevo CDP, California",7305,115,0,0,23,97,0,06,52624
"Oakdale city, California",23120,452,34,0,492,778,32,06,52694
"Oak Glen CDP, California",369,0,0,0,0,5,0,06,52715
"Oak Hills CDP, California",7838,104,22,0,39,202,0,06,52760
"Oakhurst CDP, California",5003,244,0,0,87,266,4,06,52764
"Oakland city, California",437825,7828,4016,3904,7884,12765,5058,06,53000
"Oakley city, California",43525,611,220,129,743,1725,290,06,53070
"Oak Park CDP, California",13627,159,32,20,218,598,252,06,53116
"Oak Run CDP, California",561,14,0,0,10,0,0,06,53140
"Oak Shores CDP, California",159,0,0,0,16,10,0,06,53160
"Oak View CDP, California",6468,97,0,0,134,321,0,06,53182
"Oakville CDP, California",0,0,0,0,0,0,0,06,53196
"Oasis CDP, California",3775,0,0,0,0,4,0,06,53224
"Occidental CDP, California",1061,21,0,0,20,26,0,06,53266
"Oceano CDP, California",7287,143,0,0,157,250,0,06,53294
"Oceanside city, California",173722,2761,429,516,3647,5414,690,06,53322
"Ocotillo CDP, California",146,0,0,0,0,0,0,06,53378
"Oildale CDP, California",34796,576,0,10,1061,1235,79,06,53448
"Ojai city, California",7610,126,0,30,136,286,0,06,53476
"Olancha CDP, California",171,0,0,0,0,0,0,06,53490
"Olde Stockdale CDP, California",543,0,0,0,0,21,0,06,53503
"Old Fig Garden CDP, California",5156,39,23,20,28,159,14,06,53505
"Old River CDP, California",106,0,0,0,0,0,0,06,53574
"Old Station CDP, California",0,0,0,0,0,0,0,06,53602
"Old Stine CDP, California",3612,77,0,0,65,53,0,06,53603
"Olivehurst CDP, California",17416,491,89,50,327,526,81,06,53714
"Ono CDP, California",27,1,0,0,0,2,0,06,53882
"Ontario city, California",176326,904,671,704,1002,1519,844,06,53896
"Onyx CDP, California",645,31,0,0,0,0,0,06,53910
"Orange city, California",138728,1933,631,667,2280,3822,1481,06,53980
"Orange Blossom CDP, California",1520,6,5,0,3,102,0,06,53987
"Orange Cove city, California",9635,0,0,0,0,0,0,06,54008
"Orangevale CDP, California",35852,854,20,25,697,2026,54,06,54092
"Orcutt CDP, California",31137,401,21,50,550,1267,83,06,54120
"Orick CDP, California",308,0,0,0,11,0,0,06,54218
"Orinda city, California",19477,92,20,31,92,785,214,06,54232
"Orland city, California",8221,82,0,2,133,70,0,06,54274
"Orosi CDP, California",9100,0,14,0,0,10,37,06,54372
"Oroville city, California",20283,522,74,103,582,978,120,06,54386
"Oroville East CDP, California",7640,122,0,0,104,189,14,06,54388
"Oxnard city, California",202279,614,496,507,796,1316,917,06,54652
"Pacheco CDP, California",5041,38,0,48,11,162,43,06,54764
"Pacifica city, California",38048,371,274,298,574,1271,864,06,54806
"Pacific Grove city, California",15098,276,43,9,300,607,100,06,54848
"Pajaro CDP, California",2723,0,0,0,12,11,0,06,55044
"Pajaro Dunes CDP, California",93,0,0,0,0,0,0,06,55048
"Pala CDP, California",988,0,3,0,3,2,3,06,55058
"Palermo CDP, California",5516,85,0,0,154,171,26,06,55086
"Palmdale city, California",166895,823,193,191,787,2051,546,06,55156
"Palm Desert city, California",51290,679,66,27,803,1396,145,06,55184
"Palm Springs city, California",44935,231,54,161,537,981,215,06,55254
"Palo Alto city, California",67901,845,692,556,840,1798,1697,06,55282
"Palo Cedro CDP, California",3396,152,0,2,68,136,0,06,55296
"Palos Verdes Estates city, California",13219,106,37,54,97,264,61,06,55380
"Palo Verde CDP, California",81,0,0,0,0,0,0,06,55422
"Panorama Heights CDP, California",44,0,0,0,0,3,0,06,55506
"Paradise town, California",6666,89,6,0,142,251,0,06,55520
"Paradise CDP, California",183,0,0,0,0,28,0,06,55528
"Paradise Park CDP, California",538,27,0,0,45,27,0,06,55604
"Paramount city, California",53255,119,47,103,110,53,141,06,55618
"Parklawn CDP, California",1543,34,0,0,0,29,0,06,55728
"Parksdale CDP, California",2500,0,0,0,0,0,7,06,55751
"Parkway CDP, California",16242,60,219,104,65,160,156,06,55800
"Parkwood CDP, California",2073,29,0,0,45,0,0,06,55842
"Parlier city, California",14625,0,0,5,21,16,0,06,55856
"Pasadena city, California",137554,2004,1657,1264,2264,3641,2375,06,56000
"Pasatiempo CDP, California",1264,8,0,0,8,69,0,06,56028
"Paskenta CDP, California",63,0,0,0,0,8,0,06,56042
"Patterson city, California",23678,148,38,22,123,327,59,06,56112
"Patterson Tract CDP, California",1645,0,0,0,0,0,0,06,56120
"Patton Village CDP, California",792,38,0,0,16,0,0,06,56140
"Paxton CDP, California",0,0,0,0,0,0,0,06,56182
"Paynes Creek CDP, California",37,0,0,0,0,0,0,06,56196
"Pearsonville CDP, California",0,0,0,0,0,0,0,06,56294
"Penngrove CDP, California",2184,6,37,0,24,53,0,06,56476
"Penn Valley CDP, California",1188,16,0,0,26,78,0,06,56518
"Penryn CDP, California",1112,0,0,0,0,55,0,06,56546
"Pepperdine University CDP, California",2741,8,3,1,0,7,0,06,56598
"Perris city, California",78881,164,79,167,237,304,257,06,56700
"Pescadero CDP, California",349,0,0,0,0,41,0,06,56756
"Petaluma city, California",59682,1087,121,93,1374,2656,138,06,56784
"Petaluma Center CDP, California",849,29,0,0,48,45,0,06,56786
"Peters CDP, California",309,0,0,0,0,8,0,06,56798
"Phelan CDP, California",18272,252,0,0,377,556,23,06,56826
"Phillipsville CDP, California",0,0,0,0,0,0,0,06,56854
"Philo CDP, California",53,0,0,0,0,0,0,06,56868
"Phoenix Lake CDP, California",4377,9,0,0,75,59,0,06,56870
"Pico Rivera city, California",61561,10,121,32,117,179,108,06,56924
"Piedmont city, California",11161,60,88,22,196,376,219,06,56938
"Pierpoint CDP, California",79,0,0,0,0,0,0,06,57011
"Pike CDP, California",97,0,0,0,0,29,0,06,57036
"Pine Canyon CDP, California",2092,0,0,0,0,76,0,06,57070
"Pine Flat CDP, California",181,9,0,0,0,5,0,06,57134
"Pine Grove CDP, California",3386,139,0,0,24,138,0,06,57148
"Pine Hills CDP, California",3508,104,0,0,68,57,0,06,57204
"Pine Mountain Club CDP, California",2195,35,0,0,5,25,132,06,57240
"Pine Mountain Lake CDP, California",3038,5,0,4,41,150,0,06,57244
"Pine Valley CDP, California",1778,22,0,0,146,81,0,06,57260
"Pinole city, California",18946,374,243,188,235,394,333,06,57288
"Piñon Hills CDP, California",7157,12,44,0,120,194,27,06,57302
"Pioneer CDP, California",1322,20,0,0,0,70,0,06,57330
"Piru CDP, California",2182,0,0,0,4,5,0,06,57372
"Pismo Beach city, California",8050,84,13,12,194,348,0,06,57414
"Pittsburg city, California",76419,446,581,505,846,857,933,06,57456
"Pixley CDP, California",3811,49,0,0,0,27,0,06,57512
"Placentia city, California",51797,586,262,334,704,1069,577,06,57526
"Placerville city, California",10744,308,0,14,363,335,5,06,57540
"Plainview CDP, California",378,0,0,0,0,9,0,06,57568
"Planada CDP, California",3494,0,0,0,0,0,0,06,57582
"Platina CDP, California",25,0,0,0,0,0,0,06,57666
"Pleasant Hill city, California",34504,444,421,174,511,1515,460,06,57764
"Pleasanton city, California",78691,713,1257,887,973,1702,3353,06,57792
"Pleasure Point CDP, California",5909,133,0,0,107,180,17,06,57825
"Plumas Eureka CDP, California",444,0,0,0,0,11,0,06,57828
"Plumas Lake CDP, California",8301,188,72,58,190,393,48,06,57829
"Plymouth city, California",1297,15,0,0,16,104,0,06,57834
"Point Arena city, California",661,0,0,0,0,9,0,06,57876
"Point Reyes Station CDP, California",383,0,0,0,0,0,0,06,57960
"Pollock Pines CDP, California",5917,96,0,0,262,326,0,06,58030
"Pomona city, California",149831,411,505,675,452,912,755,06,58072
"Ponderosa CDP, California",58,0,0,0,0,0,0,06,58134
"Poplar-Cotton Center CDP, California",1918,0,15,23,0,41,0,06,58191
"Port Costa CDP, California",251,0,0,0,0,0,0,06,58226
"Porterville city, California",62491,392,141,26,223,822,98,06,58240
"Port Hueneme city, California",21847,274,16,58,232,386,49,06,58296
"Portola city, California",2427,36,0,0,48,37,0,06,58352
"Portola Valley town, California",4397,0,0,0,49,78,0,06,58380
"Posey CDP, California",0,0,0,0,0,0,0,06,58422
"Poso Park CDP, California",0,0,0,0,0,0,0,06,58436
"Post Mountain CDP, California",101,0,0,0,0,0,0,06,58456
"Potomac Park CDP, California",10697,16,0,0,14,9,0,06,58471
"Potrero CDP, California",509,0,0,0,0,0,0,06,58478
"Potter Valley CDP, California",537,18,0,0,5,8,0,06,58506
"Poway city, California",48737,884,199,278,806,2075,479,06,58520
"Prattville CDP, California",39,0,0,0,0,0,0,06,58618
"Princeton CDP, California",357,0,0,0,0,0,0,06,58758
"Proberta CDP, California",195,0,0,0,0,0,0,06,58814
"Prunedale CDP, California",19372,343,17,15,163,364,115,06,58870
"Pumpkin Center CDP, California",258,0,0,0,0,0,0,06,58940
"Quartz Hill CDP, California",10089,227,35,0,326,167,37,06,59052
"Quincy CDP, California",1368,29,0,0,16,68,0,06,59080
"Rackerby CDP, California",222,0,0,0,16,0,0,06,59115
"Rail Road Flat CDP, California",78,0,0,0,0,17,0,06,59220
"Rainbow CDP, California",1830,18,0,13,0,54,17,06,59248
"Raisin City CDP, California",267,0,0,0,0,0,0,06,59290
"Ramona CDP, California",22118,371,69,16,343,649,42,06,59346
"Rancho Calaveras CDP, California",6089,163,0,0,105,268,0,06,59426
"Rancho Cordova city, California",79128,1387,713,611,1631,2830,883,06,59444
"Rancho Cucamonga city, California",174696,1703,1178,1357,2007,3432,1723,06,59451
"Rancho Mirage city, California",17257,98,3,0,290,282,55,06,59500
"Rancho Mission Viejo CDP, California",10697,301,112,96,263,444,102,06,59503
"Rancho Murieta CDP, California",5728,16,18,0,0,167,7,06,59506
"Rancho Palos Verdes city, California",41805,252,136,168,220,1092,828,06,59514
"Rancho San Diego CDP, California",22430,420,47,28,364,910,59,06,59550
"Rancho Santa Fe CDP, California",3033,77,0,0,30,40,0,06,59584
"Rancho Santa Margarita city, California",47702,802,140,93,826,1958,306,06,59587
"Rancho Tehama Reserve CDP, California",793,0,0,0,65,0,0,06,59604
"Randsburg CDP, California",65,0,0,0,0,0,0,06,59668
"Red Bluff city, California",14576,257,0,0,197,799,16,06,59892
"Red Corral CDP, California",1271,11,0,0,0,0,0,06,59896
"Redcrest CDP, California",0,0,0,0,0,0,0,06,59906
"Redding city, California",93327,2344,177,176,2326,4382,209,06,59920
"Redlands city, California",73234,1011,164,235,793,2168,496,06,59962
"Redondo Beach city, California",70620,1920,385,264,1721,3448,1143,06,60018
"Redway CDP, California",1257,0,0,0,50,54,0,06,60088
"Redwood City city, California",83077,1173,1145,1010,1646,2464,1246,06,60102
"Redwood Valley CDP, California",1623,0,0,0,0,55,0,06,60214
"Reedley city, California",25248,107,15,34,93,168,54,06,60242
"Reliez Valley CDP, California",3190,36,0,0,16,139,20,06,60279
"Rexland Acres CDP, California",3788,0,0,0,0,10,0,06,60370
"Rialto city, California",103873,278,57,45,278,446,124,06,60466
"Richfield CDP, California",142,0,0,0,0,5,0,06,60592
"Richgrove CDP, California",1837,21,0,0,0,8,0,06,60606
"Richmond city, California",115619,801,727,531,705,1430,1204,06,60620
"Richvale CDP, California",248,0,0,0,0,0,0,06,60662
"Ridgecrest city, California",28118,739,9,77,653,1423,51,06,60704
"Ridgecrest Heights CDP, California",352,19,0,0,30,0,0,06,60705
"Ridgemark CDP, California",3022,27,0,0,9,97,0,06,60706
"Rio Dell city, California",3386,192,0,0,39,184,0,06,60900
"Rio del Mar CDP, California",9007,105,27,0,81,416,6,06,60928
"Rio Linda CDP, California",16596,243,55,25,399,602,41,06,60942
"Rio Oso CDP, California",368,8,2,0,8,46,4,06,60970
"Rio Vista city, California",10074,117,0,0,249,180,16,06,60984
"Ripley CDP, California",614,0,0,0,0,0,0,06,61012
"Ripon city, California",16092,387,57,0,314,697,117,06,61026
"Riverbank city, California",24803,346,18,9,383,644,97,06,61068
"Riverdale CDP, California",2756,39,0,0,14,21,0,06,61096
"Riverdale Park CDP, California",795,0,0,0,0,0,0,06,61106
"Rivergrove CDP, California",74,0,0,0,0,0,0,06,61108
"River Pines CDP, California",487,0,0,0,0,61,0,06,61124
"Riverside city, California",316076,2784,917,1004,2757,5622,1176,06,62000
"Robbins CDP, California",341,7,0,0,7,16,0,06,62168
